sy_snum,sy_pnum,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_name,hostname,discoverymethod,disc_facility,pl_bmassprov,st_spectype,st_metratio,rastr,decstr,pl_rade,log_pl_rade,planet_star_radius_ratio,log_orbital_period
1,1,2021,0,11.109275265,8.6275e-05,-8.7705e-05,0.0,118.0,1.3,-1.3,0.0,0.27,-0.21,0.0,1.16,0.024,-0.019,0.0,1271.313628,317.828407,-317.828407,0.0,4.0,1.0,-1.0,0.0,0.0,0.049,-0.04,0.0,99.493,6.0,-5.314,0.0,1450.0,50.0,-50.0,0.0,0,3100.0,100.0,-100.0,0.0,0.84,0.11,-0.11,0.0,0.17,0.01,-0.02,0.0,0.01,0.05,-0.05,0.0,4.5,0.5,-0.5,0.0,69.3405531,26.8502997,128.484,1.196,-1.174,16.186,1.133,-1.133,10.386,0.018,-0.018,14.3374,0.000772,-0.000772,2M0437 b,2MASS J04372171+2651014,Imaging,Subaru Telescope,Mass,M V,[Fe/H],04h37m21.73s,+26d51m01.08s,13.0,2.6390573296152584,15.476190476190476,2.4939717097791125
2,1,2013,0,11.109275265,8.6275e-05,-8.7705e-05,0.0,84.0,0.0019950000000000002,-0.002,0.0,0.27,-0.21,0.0,1.1,0.024,-0.019,0.0,4131.79,317.83,-317.83,0.0,13.0,1.0,-1.0,0.0,0.0,0.049,-0.04,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,5551.0,86.07499999999999,-86.93,0.0,0.953811,0.051109,-0.05,0.0,0.19,0.02,-0.02,0.0,0.02,0.083,-0.083,0.0,4.453,0.056,-0.073877,0.0,15.8992489,-55.2658291,47.2,3.1,-3.1,15.788,0.275,-0.275,9.237001,0.022,-0.022,12.997,0.000364,-0.000364,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,Paranal Observatory,Mass,M5.5/M6,missing,01h03m35.82s,-55d15m56.98s,12.3,2.5877640352277083,12.895636556927945,2.4939717097791125
1,1,2013,0,11.109275265,8.6275e-05,-8.7705e-05,0.0,52.0,6.0,-6.0,0.0,0.27,-0.21,0.0,1.0,0.024,-0.019,0.0,7786.5,794.5,-794.5,0.0,24.5,2.5,-2.5,0.0,0.0,0.049,-0.04,0.0,99.493,6.0,-5.314,0.0,1600.0,100.0,-100.0,0.0,0,3530.0,50.0,-50.0,0.0,0.36645,0.011155,-0.011155,0.0,0.4,0.05,-0.05,0.0,0.02,0.083,-0.083,0.0,4.85804,0.001333,-0.001333,0.0,20.7128012,-24.6646128,33.8281,0.0864,-0.086,14.244,0.074,-0.074,9.198,0.026,-0.026,12.9025,0.001151,-0.001151,2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,W. M. Keck Observatory,Mass,M3.5 V,missing,01h22m51.07s,-24d39m52.61s,11.209,2.5021733846867185,30.588074771455858,2.4939717097791125
1,1,2015,0,11.109275265,8.6275e-05,-8.7705e-05,0.0,156.0,10.0,-10.0,0.0,0.33627,-0.33627,0.0,1.44,0.03,-0.03,0.0,4417.837,349.613,-349.613,0.0,13.9,1.1,-1.1,0.0,0.0,0.049,-0.04,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,3064.0,76.0,-76.0,0.0,0.281,0.013,-0.013,0.0,0.108,0.011,-0.011,0.0,0.02,0.083,-0.083,0.0,4.59,0.06,-0.06,0.0,34.8427046,-39.4230767,40.08964117,0.19404958,-0.19404958,13.267,0.08,-0.08,10.404,0.025,-0.025,15.0123,0.000624,-0.000624,2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,Cerro Tololo Inter-American Observatory,Mass,M6,missing,02h19m22.25s,-39d25m23.08s,16.14096,2.8414709209360587,57.44113879003558,2.4939717097791125
2,1,2018,0,11.109275265,8.6275e-05,-8.7705e-05,0.0,1950.0,200.0,-200.0,0.0,0.27,-0.21,0.0,1.11,0.024,-0.019,0.0,3686.8095212,413.1769291,-317.828407,0.0,11.6,1.3,-1.0,0.0,0.0,0.049,-0.04,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,2859.0,157.0,-157.0,0.0,0.315959,0.009624,-0.009624,0.0,0.046,0.012,-0.011,0.0,0.02,0.083,-0.083,0.0,4.90849,0.003481,-0.003481,0.0,42.4851627,-5.9599921,66.0613,0.4543,-0.4482,18.3,0.2,-0.2,11.055,0.021,-0.021,15.6894,0.001224,-0.001224,2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,Mauna Kea Observatory,Mass,M6 V,missing,02h49m56.44s,-05d57m35.97s,12.4,2.5952547069568657,39.24559832130118,2.4939717097791125
1,1,2024,0,11.109275265,8.6275e-05,-8.7705e-05,0.0,572.0,7.0,-7.0,0.0,0.27,-0.21,0.0,1.08,0.024,-0.019,0.0,5720.911326,317.828407,-317.828407,0.0,18.0,1.0,-1.0,0.0,0.0,0.049,-0.04,0.0,99.493,6.0,-5.314,0.0,2369.0,21.0,-5.0,0.0,0,2943.0,157.0,-157.0,0.0,0.289776,0.01007,-0.01007,0.0,0.264996,0.020979,-0.020979,0.0,0.02,0.083,-0.083,0.0,4.93718,0.004256,-0.004256,0.0,59.7911026,20.1599759,117.435,2.32,-2.233,13.267,0.08,-0.08,12.533,0.028,-0.028,16.9967,0.001082,-0.001082,2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,European Space Agency (ESA) Gaia Satellite,Mass,missing,missing,03h59m09.86s,+20d09m35.91s,12.2,2.580216829592325,42.1014852851858,2.4939717097791125
1,1,2010,0,11.109275265,8.6275e-05,-8.7705e-05,0.0,15.0,0.0019950000000000002,-0.002,0.0,0.27,-0.21,0.0,1.13,0.024,-0.019,0.0,2383.6,794.5,-794.5,0.0,7.5,2.5,-2.5,0.0,0.0,0.049,-0.04,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,2936.0,182.0,-182.0,0.0,0.231916,0.011553,-0.011553,0.0,0.019,0.048,-0.048,0.0,0.02,0.083,-0.083,0.0,5.01181,0.004972,-0.004972,0.0,70.4371079,23.0308544,120.42398696,5.4783417,-5.4783417,13.267,0.08,-0.08,13.161,0.025,-0.025,18.9668,0.006833,-0.006833,2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,Hubble Space Telescope,Mass,M8.5,missing,04h41m44.91s,+23d01m51.08s,12.6,2.6100697927420065,54.330016040290445,2.4939717097791125
1,1,2024,0,11.109275265,8.6275e-05,-8.7705e-05,0.0,266.0,8.0,-8.0,0.0,0.27,-0.21,0.0,1.06,0.024,-0.019,0.0,8899.195396,3178.28407,-2224.798849,0.0,28.0,10.0,-7.0,0.0,0.0,0.049,-0.04,0.0,99.493,6.0,-5.314,0.0,2677.0,78.0,-76.0,0.0,0,5551.0,86.07499999999999,-86.93,0.0,0.953811,0.051109,-0.05,0.0,0.94,0.048,-0.048,0.0,0.02,0.083,-0.083,0.0,4.453,0.056,-0.073877,0.0,165.3295388,-77.5440912,384.757,4.2155000000000005,-4.13725,13.267,0.08,-0.08,11.632,0.026,-0.026,18.3299,0.002294,-0.002294,2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,European Space Agency (ESA) Gaia Satellite,Mass,missing,missing,11h01m19.09s,-77d32m38.73s,11.9,2.5572273113676265,12.476266262393704,2.4939717097791125
1,1,2024,0,11.109275265,8.6275e-05,-8.7705e-05,0.0,587.0,2.0,-2.0,0.0,0.27,-0.21,0.0,1.08,0.024,-0.019,0.0,6356.56814,317.828407,-317.828407,0.0,20.0,1.0,-1.0,0.0,0.0,0.049,-0.04,0.0,99.493,6.0,-5.314,0.0,2506.0,2.0,-2.0,0.0,0,3021.0,157.0,-157.0,0.0,0.600455,0.017923,-0.017923,0.0,0.58846,0.020331,-0.020331,0.0,0.02,0.083,-0.083,0.0,4.65082,0.010924,-0.010924,0.0,178.7691634,-79.3197558,100.862,0.603,-0.596,16.957,0.309,-0.309,10.079,0.021,-0.021,14.818,0.001725,-0.001725,2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,European Space Agency (ESA) Gaia Satellite,Mass,missing,missing,11h55m04.60s,-79d19m11.12s,12.1,2.5726122302071057,20.151385199557005,2.4939717097791125
1,1,2004,0,11.109275265,8.6275e-05,-8.7705e-05,0.0,55.0,0.0019950000000000002,-0.002,0.0,0.27,-0.21,0.0,1.15,0.024,-0.019,0.0,1589.15,635.66,-635.66,0.0,5.0,2.0,-2.0,0.0,0.0,0.049,-0.04,0.0,99.493,6.0,-5.314,0.0,1250.0,200.0,-200.0,0.0,0,2825.0,157.0,-157.0,0.0,0.21887,0.006976,-0.006976,0.0,0.024,0.048,-0.048,0.0,0.02,0.083,-0.083,0.0,5.03186,0.019213,-0.019213,0.0,181.8890906,-39.5484399,64.308,0.6569,-0.644,20.15,0.19,-0.08,11.945,0.026,-0.026,17.4076,0.002154,-0.002154,2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,Paranal Observatory,Mass,M8,missing,12h07m33.38s,-39d32m54.38s,12.9,2.631888840136646,58.93909626719057,2.4939717097791125
